Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
A0A510N8Z9	adk1		PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00235}.	AMP salvage [GO:0044209]	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]				UPA00588;	cd01428;	PS00113;		PF05191;	IPR006259;IPR000850;IPR033690;IPR007862;IPR036193;IPR027417;	adk1 adk VNG_1724G
A0A510N977	pyrG		PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000256|ARBA:ARBA00005171, ECO:0000256|HAMAP-Rule:MF_01227}.	'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]		ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; metal ion binding [GO:0046872]				UPA00159;	cd03113;cd01746;			PF06418;PF00117;	IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417;	pyrG VNG_1830G
A0A510NA34	idiB1a1			isoprenoid biosynthetic process [GO:0008299]	cytoplasm [GO:0005737]	FMN binding [GO:0010181]; isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; magnesium ion binding [GO:0000287]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]					cd02811;			PF01070;	IPR013785;IPR000262;IPR011179;	idiB1a1 fni idiB1a2 idiB1b1 idiB1b2 VNG_6081G VNG_6445G VNG_7060 VNG_7149
A0A510NB10	katG			hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]		catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]						PS00435;PS00436;PS50873;		PF00141;	IPR000763;IPR002016;IPR010255;IPR019794;IPR019793;	katG perA VNG_6294G
O73955	katG	VNG_6294G		cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	cytosol [GO:0005829]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]			2839at2157;			PS00435;PS00436;PS50873;		PF00141;	IPR000763;IPR002016;IPR010255;IPR019794;IPR019793;	katG perA VNG_6294G
P09737	sod1	VNG_1190G				metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	64091.VNG_1190G;		74803at2157;			PS00088;		PF02777;PF00081;	IPR001189;IPR019833;IPR019832;IPR019831;IPR036324;IPR036314;	sod1 sod VNG_1190G
P0DMI3	htr1	VNG_1659G		chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	photoreceptor activity [GO:0009881]; transmembrane signaling receptor activity [GO:0004888]	64091.VNG_1659G;		28514at2157;			PS50111;PS50885;	SM00304;SM00283;	PF00672;PF00015;	IPR004090;IPR003660;IPR004089;	htr1 htr htrI VNG_1659G
P33518	coxA2	VNG_0657G	PATHWAY: Energy metabolism; oxidative phosphorylation.	aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; respirasome [GO:0070469]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	64091.VNG_0657G;		10440at2157;	UPA00705;		PS50855;PS00077;		PF00115;	IPR023616;IPR036927;IPR000883;IPR023615;IPR014241;	coxA2 VNG_0657G
Q48296	arcB	VNG_6315G	PATHWAY: Amino-acid degradation; L-arginine degradation via ADI pathway; carbamoyl phosphate from L-arginine: step 2/2.	arginine biosynthetic process via ornithine [GO:0042450]; arginine catabolic process to ornithine [GO:0019547]; arginine deiminase pathway [GO:0019546]; citrulline biosynthetic process [GO:0019240]	cytoplasm [GO:0005737]	amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]			43727at2157;	UPA00254;		PS00097;		PF00185;PF02729;	IPR006132;IPR006130;IPR036901;IPR006131;IPR002292;IPR024904;	arcB argB VNG_6315G
Q9HHE4	fni; fni2; fni3; fni4	VNG_5084G; VNG_5213G; VNG_6081G; VNG_6445G		isoprenoid biosynthetic process [GO:0008299]	cytoplasm [GO:0005737]	FMN binding [GO:0010181]; isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; magnesium ion binding [GO:0000287]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]			42330at2157;		cd02811;			PF01070;	IPR013785;IPR000262;IPR011179;	fni fni1 VNG_5084G H0660; fni2 VNG_5213G H1696; fni3 VNG_6081G; fni4 VNG_6445G
Q9HMD2	pdxT	VNG_2598G	PATHWAY: Cofactor biosynthesis; pyridoxal 5'-phosphate biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01615}.	glutamine catabolic process [GO:0006543]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine metabolic process [GO:0008614]	cytosol [GO:0005829]; glutaminase complex [GO:1903600]	glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]	64091.VNG_2598G;		78046at2157;	UPA00245;	cd01749;	PS01236;PS51130;		PF01174;	IPR029062;IPR002161;IPR021196;	pdxT VNG_2598G
Q9HME1	cofE	VNG_2586C	PATHWAY: Cofactor biosynthesis; coenzyme F420 biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01258}.	F420-0 metabolic process [GO:0052645]		coenzyme F420-0:L-glutamate ligase activity [GO:0052618]; coenzyme F420-1:gamma-L-glutamate ligase activity [GO:0052619]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	64091.VNG_2586C;		73785at2157;	UPA00071;				PF01996;	IPR008225;IPR002847;IPR023659;	cofE VNG_2586C
Q9HMP7	dps	VNG_2443G		cellular iron ion homeostasis [GO:0006879]	cytoplasm [GO:0005737]	ferric iron binding [GO:0008199]; oxidoreductase activity [GO:0016491]	64091.VNG_2443G;		102179at2157;		cd01043;			PF00210;	IPR002177;IPR012347;IPR009078;IPR008331;	dps dpsA VNG_2443G OE4427R
Q9HN88	prs	VNG_2203G	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm [GO:0005737]; ribose phosphate diphosphokinase complex [GO:0002189]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	64091.VNG_2203G;		59314at2157;	UPA00087;	cd06223;			PF00156;PF13793;	IPR029099;IPR000836;IPR029057;IPR005946;IPR037514;	prs prsA VNG_2203G
Q9HNE6	blh	VNG_2136G		carotene catabolic process [GO:0016121]; retinal metabolic process [GO:0042574]	integral component of plasma membrane [GO:0005887]	beta-carotene 15,15'-dioxygenase activity [GO:0003834]; carotenoid dioxygenase activity [GO:0010436]; iron ion binding [GO:0005506]	64091.VNG_2136G;							PF15461;	IPR022270;	blh VNG_2136G
Q9HNF4	ribK	VNG_2126C	PATHWAY: Cofactor biosynthesis; FMN biosynthesis; FMN from riboflavin (CTP route): step 1/1.	FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]		metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; riboflavin kinase activity [GO:0008531]	64091.VNG_2126C;		91297at2157;	UPA00276;				PF01982;	IPR039063;IPR023602;IPR023465;IPR036388;IPR036390;	ribK VNG_2126C
Q9HNI2	glnA	VNG_2093G		glutamine biosynthetic process [GO:0006542]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; metal ion binding [GO:0046872]	64091.VNG_2093G;		47310at2157;			PS00180;PS00181;PS51986;PS51987;	SM01230;	PF00120;PF03951;	IPR008147;IPR036651;IPR014746;IPR008146;IPR027303;IPR004809;IPR027302;	glnA VNG_2093G
Q9HNJ8	serS	VNG_2072G	PATHWAY: Aminoacyl-tRNA biosynthesis; selenocysteinyl-tRNA(Sec) biosynthesis; L-seryl-tRNA(Sec) from L-serine and tRNA(Sec): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00176}.	selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]	64091.VNG_2072G;		16385at2157;	UPA00906;	cd00770;	PS50862;		PF02403;PF00587;	IPR002314;IPR006195;IPR045864;IPR002317;IPR015866;IPR042103;IPR033729;IPR010978;	serS VNG_2072G
Q9HP27	thrS	VNG_1835G		threonyl-tRNA aminoacylation [GO:0006435]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]	64091.VNG_1835G;		11656at2157;		cd00771;	PS50862;PS51880;	SM00863;	PF03129;PF02824;PF00587;PF07973;	IPR002314;IPR006195;IPR045864;IPR004154;IPR036621;IPR012675;IPR004095;IPR012676;IPR002320;IPR018163;IPR033728;IPR012947;	thrS VNG_1835G
Q9HP32	pyrG	VNG_1830G	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000255|HAMAP-Rule:MF_01227}.	'de novo' CTP biosynthetic process [GO:0044210]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; pyrimidine nucleobase biosynthetic process [GO:0019856]		ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	64091.VNG_1830G;		14061at2157;	UPA00159;	cd03113;cd01746;	PS51273;		PF06418;PF00117;	IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417;	pyrG VNG_1830G
Q9HP42	carA	VNG_1815G	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01209}.	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]	64091.VNG_1815G;		35557at2157;	UPA00068;UPA00070;	cd01744;	PS51273;	SM01097;	PF00988;PF00117;	IPR006274;IPR002474;IPR036480;IPR029062;IPR035686;IPR017926;	carA VNG_1815G
Q9HP43	carB	VNG_1814G	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01210}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01210}.	'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]	64091.VNG_1814G;		911at2157;	UPA00068;UPA00070;		PS50975;PS00866;PS00867;PS51855;	SM01096;	PF02786;PF02787;	IPR011761;IPR006275;IPR005480;IPR036897;IPR005479;IPR005483;IPR011607;IPR016185;	carB VNG_1814G
Q9HP81	htr2	VNG_1765G		chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	photoreceptor activity [GO:0009881]	64091.VNG_1765G;		10018at2157;			PS50111;PS50885;	SM00304;SM00283;	PF00672;PF00015;	IPR003660;IPR004089;	htr2 htrII VNG_1765G
Q9HPA7	adk	VNG_1724G	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00235}.	AMP salvage [GO:0044209]	cytoplasm [GO:0005737]	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]	64091.VNG_1724G;		55175at2157;	UPA00588;	cd01428;	PS00113;		PF05191;	IPR006259;IPR000850;IPR033690;IPR007862;IPR036193;IPR027417;	adk ak VNG_1724G
Q9HPD9	lye	VNG_1682C	PATHWAY: Carotenoid biosynthesis. {ECO:0000269|PubMed:21840984}.	carotenoid biosynthetic process [GO:0016117]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	64091.VNG_1682C;		71004at2157;					PF01040;	IPR000537;IPR044878;	lye VNG_1682C
Q9HPP1	sucC	VNG_1541G	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; succinate from succinyl-CoA (ligase route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00558}.	succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	succinate-CoA ligase complex [GO:0042709]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]	64091.VNG_1541G;		72275at2157;	UPA00223;		PS50975;PS01217;		PF08442;PF00549;	IPR011761;IPR013650;IPR013815;IPR005811;IPR017866;IPR005809;IPR016102;	sucC VNG_1541G
Q9HPU7	brp	VNG_1465G		carotene catabolic process [GO:0016121]; retinal metabolic process [GO:0042574]	integral component of plasma membrane [GO:0005887]	beta-carotene 15,15'-dioxygenase activity [GO:0003834]; carotenoid dioxygenase activity [GO:0010436]; iron ion binding [GO:0005506]	64091.VNG_1465G;		35188at2157;					PF15461;	IPR022270;	brp VNG_1465G
Q9HPY5	glyA	VNG_1414G	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000255|HAMAP-Rule:MF_00051}.; PATHWAY: Amino-acid biosynthesis; glycine biosynthesis; glycine from L-serine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00051}.	folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; L-serine catabolic process [GO:0006565]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	cytoplasm [GO:0005737]	glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; zinc ion binding [GO:0008270]	64091.VNG_1414G;		22518at2157;	UPA00193;UPA00288;	cd00378;	PS00096;		PF00464;	IPR015424;IPR015421;IPR015422;IPR001085;IPR019798;IPR039429;	glyA VNG_1414G
Q9HQ46	phr	VNG_1335G		DNA repair [GO:0006281]; protein-chromophore linkage [GO:0018298]		deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]	64091.VNG_1335G;		21461at2157;			PS00394;PS00691;PS51645;		PF00875;PF03441;	IPR036134;IPR036155;IPR005101;IPR002081;IPR018394;IPR006050;IPR014729;	phr phr2 VNG_1335G
Q9HQ52	thyX	VNG_1325C	PATHWAY: Pyrimidine metabolism; dTTP biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01408}.	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]		flavin adenine dinucleotide binding [GO:0050660]; NADPH binding [GO:0070402]; thymidylate synthase (FAD) activity [GO:0050797]; thymidylate synthase activity [GO:0004799]	64091.VNG_1325C;		77034at2157;	UPA00575;		PS51331;		PF02511;	IPR003669;IPR036098;	thyX VNG_1325C
Q9HQ72	thiI	VNG_1299C	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00021}.	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]; tRNA 4-thiouridine biosynthesis [GO:0002937]	cytosol [GO:0005829]	ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA adenylyltransferase activity [GO:0004810]; tRNA binding [GO:0000049]	64091.VNG_1299C;		57901at2157;	UPA00060;	cd01712;	PS51165;	SM00981;	PF02568;PF02926;	IPR014729;IPR020536;IPR004114;IPR003720;	thiI VNG_1299C
Q9HQI9	eno	VNG_1142G	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 4/5. {ECO:0000255|HAMAP-Rule:MF_00318}.	glycolytic process [GO:0006096]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]	64091.VNG_1142G;		23221at2157;	UPA00109;	cd03313;	PS00164;	SM01192;SM01193;	PF00113;PF03952;	IPR000941;IPR036849;IPR029017;IPR020810;IPR020809;IPR020811;	eno VNG_1142G
Q9HQU4	guaB	VNG_1001G	PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01964}.	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]		IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	64091.VNG_1001G;		58700at2157;	UPA00601;	cd00381;	PS51371;PS00487;	SM00116;	PF00571;PF00478;	IPR013785;IPR000644;IPR046342;IPR005990;IPR015875;IPR001093;	guaB VNG_1001G
Q9HRS1	dfp		PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis. {ECO:0000256|HAMAP-Rule:MF_02225}.	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]	64091.VNG_0572G;		56027at2157;	UPA00241;				PF04127;PF02441;	IPR035929;IPR005252;IPR007085;IPR036551;IPR003382;	dfp coaBC VNG_0572G
Q9HS44	folP	VNG_0412G	PATHWAY: Cofactor biosynthesis; tetrahydrofolylpolyglutamate biosynthesis.; PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 7,8-dihydrofolate from 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate and 4-aminobenzoate: step 1/2.	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]		ATP binding [GO:0005524]; dihydropteroate synthase activity [GO:0004156]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]	64091.VNG_0412G;		5870at2157;	UPA00077;UPA00850;	cd00739;	PS00792;PS00793;PS01012;PS50972;		PF02875;PF08245;PF00809;	IPR045031;IPR006390;IPR011005;IPR001645;IPR018109;IPR036565;IPR004101;IPR036615;IPR013221;IPR000489;	folP VNG_0412G
Q9HSG3	dcd	VNG_0245G	PATHWAY: Pyrimidine metabolism; dUMP biosynthesis; dUMP from dCTP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00146}.	dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]; nucleobase-containing small molecule interconversion [GO:0015949]		dCTP deaminase (dUMP-forming) activity [GO:0033973]; dCTP deaminase activity [GO:0008829]; nucleotide binding [GO:0000166]	64091.VNG_0245G;		91282at2157;	UPA00610;	cd07557;			PF06559;	IPR010550;IPR011962;IPR036157;IPR033704;	dcd dtd VNG_0245G
Q9HSP6	cca	VNG_0137G		RNA repair [GO:0042245]; tRNA 3'-terminal CCA addition [GO:0001680]		ATP binding [GO:0005524]; ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity [GO:0052929]; CTP:3'-cytidine-tRNA cytidylyltransferase activity [GO:0052928]; CTP:tRNA cytidylyltransferase activity [GO:0052927]; magnesium ion binding [GO:0000287]; tRNA binding [GO:0000049]; tRNA cytidylyltransferase activity [GO:0016437]	64091.VNG_0137G;		82755at2157;		cd05400;			PF01909;PF09249;	IPR008229;IPR042090;IPR006116;IPR043519;IPR011068;IPR002934;IPR015329;	cca VNG_0137G
Q9HSS7	gap	VNG_0095G	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000255|HAMAP-Rule:MF_00559}.	glycolytic process [GO:0006096]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytoplasm [GO:0005737]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity [GO:0047100]; NAD binding [GO:0051287]; NADP binding [GO:0050661]	64091.VNG_0095G;		32079at2157;	UPA00109;		PS00071;	SM00846;	PF01113;PF02800;	IPR000846;IPR020831;IPR020830;IPR020829;IPR020828;IPR006436;IPR036291;	gap gapB VNG_0095G
